place_id,name,lat,lon,vicinity
ChIJ49sOdRFbFkcRJVWbAzNeGKk,House of Beer,50.0619869,19.9424034,"Świętego Tomasza 35, Kraków"
ChIJW_EJ3stbFkcRYFUTiaK7dEA,Utopia Bar,50.0625217,19.9734316,"Fabryczna 13, Kraków"
ChIJg69MdRFbFkcRxgPzWW2vpn4,BeerGallery - Luxury,50.0621314,19.9425394,"Świętego Tomasza 30, Kraków"
ChIJy3S5BVRbFkcRF4VUZ-9uMaA,CULT RESTAURANT | KARAOKE | BAR,50.05846219999999,19.9443572,"Wielopole 11, Kraków"
ChIJxx0CJDlbFkcRRpWzMLVWoiQ,Hut-Pus - Obiady Domowe,50.06680219999999,19.9710149,"Mogilska 84, Kraków"
ChIJTcUB77BaFkcRTEjzZ1_4mz0,Ginza Sushi,50.0955386,19.9973303,"Osiedle Złotego Wieku 89, Kraków"
ChIJ_2UmTglbFkcRTNBG5-53WrY,Wine Bar and Shop stoccaggio,50.0635986,19.9307384,"Krupnicza 9, Kraków"
ChIJD1fF9Q1bFkcR4rlCbGHybJY,The Spaghetti,50.06049499999999,19.93719089999999,"Rynek Główny 17, Kraków"
ChIJY-ZB0Q1bFkcRrizwvqLKuAY,Chimera,50.061659,19.934816,"Świętej Anny 3, Kraków"
ChIJS3G_ReZbFkcRCTJ4rEkVDYI,Station Bistro,50.06459939999999,19.98210259999999,"Hampton by Hilton Kraków, Dąbska 5, Kraków"
ChIJDfyB9BJbFkcR7Z60FXB6qjU,Let's Sing Karaoke Bar,50.0585169,19.938094,"Grodzka 34, Kraków"
ChIJiyeS3KBbFkcRJt-RCi9WdC0,Van Groch vegan bistro,50.0425037,19.9432983,"Kalwaryjska 34/U2, Kraków"
ChIJMV6uKDpbFkcR6A1QoXP9Wns,Bar 32 Prosecco&Pinsa,50.062078,19.9428676,"Świętego Tomasza 32, Kraków"
ChIJGR-wkmlbFkcRo-3eHlbC8D8,Golden Tulip Krakow Kazimierz,50.049581,19.943187,"Krakowska 28, Kraków"
ChIJzyvgHT5FFkcR0X587v1m9OA,The North Diner,50.07799439999999,20.030928,"Osiedle Teatralne 11, Kraków"
ChIJb6pxEwBbFkcRaG9iia60j_s,Trattoria dal Toscano,50.05857069999999,19.9381087,"Grodzka 32, Kraków"
ChIJa8t0qthdFkcRYwZrY38-iKQ,"Klub Bilardowy Imperial – bilard, pool & piramida | bar i jedzenie | Kraków",50.0140268,19.9279369,"Zakopiańska 105, Kraków"
ChIJRbefLxJbFkcRyUvUDXsVJUk,Krakowska Koliba,50.06063160000001,19.9403612,"Sienna 11, Kraków"
ChIJPZr7VABbFkcR1s-8xLPWKmU,Beer Garden,50.0506664,19.9452827,"Józefa 11, Kraków"
ChIJPYYtUYdbFkcRwTxYKYDFftY,HELLO ZAPIEKANKA KAZIMIERZ,50.0516107,19.9472601,"Plac Izaaka, Ciemna 4, Kraków"
ChIJhfzpdUNbFkcRrSuh3PU7Ux0,Drukarnia Klub,50.0461451,19.949151,"Nadwiślańska 1, Kraków"
ChIJHVgxPMFbFkcRUjNKcvXL2Gk,UNIVERSE - Klub Komputerowy - Shisha Bar - Cyber Club,50.06816279999999,19.9279203,"Karmelicka 47, Kraków"
ChIJB2KIfjNbFkcRQfbUOteOVQc,TAG | cocktail bar,50.06323869999999,19.9325449,"Podwale 7, Kraków"
ChIJrzu05RFbFkcRE_bfuSovXik,Jazz Club u Muniaka,50.0621719,19.9394849,"Floriańska 3, Kraków"
ChIJv_gc_mpbFkcRnyAlH4nLZcU,Propaganda Pub,50.0527788,19.9437934,"Miodowa 20, Kraków"
ChIJX_C7q3NbFkcRsShNplgccVE,Przystań Wawel Resto Bar,50.05085400000001,19.9343152,"bulwar Czerwieński 3, Kraków"
ChIJH6u7_FdbFkcRkziZfV97V8Q,Lipowa 1,50.0477909,19.9604569,"Lipowa 4D, Kraków"
ChIJI-m1rGtbFkcRRSdvR29uLm8,Kazimir Food & Drink,50.052055,19.943287,"Miodowa 11, Kraków"
ChIJk8ej3N1bFkcRX6j_RLufl70,Spaghetteria Prądnicka,50.07734759999999,19.9362234,"Prądnicka 20A, Kraków"
ChIJNynYVC9bFkcRZfajAT1lz-A,Restauracja Abu Dhabi Oriental,50.0516757,19.9507565,"Starowiślna 78, Kraków"
ChIJEyDzkaFbFkcRxkTRjmmcskw,Single Scena Music Bar,50.06354289999999,19.94051959999999,"Świętego Marka 21, Kraków"
ChIJA5Sf_DhbFkcRBv629hTew2U,Kawa to Zawsze Dobry Pomysł,50.0659545,19.9573033,"rondo Mogilskie 1/09, Kraków"
ChIJPXloQj9DFkcROcANGTD0AxM,Bar „Docent”,50.0116645,19.9946783,"Medyczna 9, Kraków"
ChIJIyIFPxJbFkcR0UsQoBThK3A,Ambasada Śledzia,50.0600054,19.9391523,"Stolarska 8/10, Kraków"
ChIJSdwas6RbFkcRkLswk4upqPY,Dzikie Wino Wine Bar,50.0616946,19.9350947,"Rynek Główny 27, Kraków"
ChIJO4M2vX1bFkcRzCRZCv-NroU,Chez Nicholas Wine,50.04584569999999,19.9555873,"Lwowska 1/Lu10, Kraków"
ChIJmRN8uBpbFkcRzv3hMLj9BT8,R'lyeh Cafe,50.0653269,19.9519509,"Lubicz 28, Kraków"
ChIJRcdAw4JFFkcR7fdBzEi4-v0,Pełna Szklanka,50.0743744,20.0130261,"Jutrzenka 36, Kraków"
ChIJ2XcWJTJbFkcRrWSurIn8cls,Prosecco oyster bar,50.05728790000001,19.9380307,"Grodzka 51, Kraków"
ChIJV_3r7ApbFkcRHNZMTOJwWXo,BeerStreet,50.0509241,19.943034,"Beera Meiselsa 9, Kraków"
ChIJ4_GLuRZbFkcR6sBxI0GBs5I,MISTA RESTAURANT & PIZZA,50.04589199999999,19.94867,"Józefińska 4/2, Kraków"
ChIJZbVkE19bFkcRxjS-Nwa_PTs,NieVinna? - Wine bar Kraków,50.0589889,19.9386409,"plac Dominikański 4, Kraków"
ChIJ1UAKpkFbFkcRkTPqJgynOMY,Czarna Owca • Wino Bar • Kraków Wine Bar,50.05067280000001,19.9496881,"Dajwór 20/LU6, Kraków"
ChIJ5QA3evZbFkcRoXJV35LonRM,Karaoke Spot,50.06152840000001,19.9444999,"Westerplatte 13, Kraków"
ChIJj-fnCrVbFkcR3WgsaVqf-L0,Busz,50.06139899999999,19.942522,"Mikołajska 13/1.2, Kraków"
ChIJ-WCYw-VbFkcReOqxIyokVfY,Wine & Spirits Bar by Grand Ascot,50.06385270000001,19.9292636,"ul, Józefa Szujskiego 4, Kraków"
ChIJA7hvpEdFFkcR7hyXJGwhWFk,Bar na transbudzie,50.0849823,20.0661818,"Ujastek 11, Kraków"
ChIJqVgOWeFbFkcR3ijsYcpjAaE,SPODEK Coffee & Wine,50.06661049999999,19.9224577,"Karola Szymanowskiego 15, Kraków"
ChIJqfE_jQ1bFkcRACp5y0QRBqQ,Bracka 4 Music Club,50.0603631,19.9363609,"Bracka 4, Kraków"
ChIJ02P8cRJbFkcRZqwK1PKvLks,Góralskie Praliny: Cocktails & Desserts,50.0598683,19.9378321,"Grodzka 6, Kraków"
ChIJ2cQ2OWpbFkcRpQ0xoEmi08A,New day blues pub,50.0514559,19.943352,"Bożego Ciała 9, Kraków"
ChIJf4Etug5bFkcRyq0rJ_UpcGk,C.K. Browar | Bar & Restaurant | Est. 1996,50.06341349999999,19.93261099999999,"Podwale 7, Kraków"
ChIJsdw3sBpbFkcRjQgAxoXy6yU,KORBA Piwo Kawiarnia,50.06668489999999,19.9428938,"plac Jana Matejki 6, Kraków"
ChIJq2HqtxVbFkcRkPi0Ks4mAXo,Krakowski Kumpir,50.05820540000001,19.9485663,"Grzegórzecka 3/29, Kraków"
ChIJqc_PtONbFkcRls_lpYPMIa0,Kawa i Wino,50.0668641,19.9408387,"Rynek Kleparski 20, Kioski 42, Kraków"
ChIJoYPyMkFbFkcRJOpzT63PmM0,Hedwig's,50.0529299,19.9409329,"Stradomska 12/14, Kraków"
ChIJ-U-tcWpbFkcRlxQbZkFxgm0,Kraina Szeptów,50.0513226,19.9458788,"Izaaka 1, Kraków"
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,50.0473228,19.9484197,"Bulwar Kurlandzki, Kraków"
ChIJBVObi2ZFFkcRofGZ64iLvcc,Klub Meta 2.0,50.072882,20.000632,"Aleja Jana Pawła II 78, Kraków"
ChIJ59dNJxBbFkcR1ltwaIsVyUY,Pijarska 17 Restaurant,50.064761,19.9405182,"Pijarska 17, Kraków"
ChIJ20BPthFbFkcRTXjRcaFeK9c,Coffee&Wine Consonni Szpitalna,50.0638493,19.9418489,"Szpitalna 34, Kraków"
ChIJNaSf-A5bFkcRm9ykekA9l0Y,BaniaLuka,50.0641837,19.9360562,"plac Szczepański 6, Kraków"
ChIJaQWdgGxbFkcRC2TSmA75Ws4,BroPub | Craft Beer & Burgers,50.0531753,19.9393859,"Stradomska 11, Kraków"
ChIJS3r8DhJbFkcR0rZFBb0U8ts,Wesele,50.0605918,19.9380579,"Rynek Główny 10, Kraków"
ChIJLZIpzJ5bFkcRgN7saz25w3U,Q-Hotel Bar,50.0471329,19.9318348,Kraków
ChIJF5In8VxDFkcR5Nv2ycOuSkU,Barpol. Bar,50.01859040000001,19.98129,"Spółdzielców 3, Kraków"
ChIJh9rmOR5bFkcRNqqaE9gdX6I,Gin Mill,50.0521991,19.9425925,"Józefa Dietla 49, Kraków"
ChIJ8ykV3w1bFkcRcbmigKunZ8k,Vis a Vis. Drink-bar,50.0618308,19.9358326,"Rynek Główny 29, Kraków"
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,50.0580649,19.9409173,"Świętej Gertrudy 6, Kraków"
ChIJ3VJxeyFbFkcRJO3FhfkEpaM,Maniura,50.0522435,19.9416308,"Józefa Dietla 44, Kraków"
ChIJJyF2hQ5bFkcRNxlEU7GLkrs,Multi Qlti Tap Bar | Craft Beer,50.0628837,19.9343811,"Szewska 21, Kraków"
ChIJS7RNvRFbFkcR0vZIlckMgfM,Tom Yum,50.0836627,19.9274873,"Józefa Wybickiego 5A, Kraków"
ChIJRRyK1bFbFkcRQHJDAPO9fXQ,BarBar Krakow,50.0541363,19.9455177,"Świętego Sebastiana 33, Kraków"
ChIJM7UugrJbFkcRSFbWL_XyBS0,SIPS & BITES - Bar & Restaurant,50.0573662,19.9272516,"Wygoda 8, Kraków"
ChIJ_1sBnIBbFkcRAD2ADTfrK2I,Classic Rock Club,50.06441489999999,19.9279559,"Rajska 24, Kraków"
ChIJs0XS59tbFkcRlW-L1mfW3EY,Bosacka Station,50.06742070000001,19.9501188,"Bosacka 5/1a, Kraków"
ChIJNUTFWQ5bFkcRJqMf7KrLNgo,Winosfera Plac Szczepański,50.0638502,19.9362714,"plac Szczepański 8, Kraków"
ChIJrUvG1HJbFkcRPVT1mUMR7qE,Indalo Cafe & Bar,50.05748599999999,19.9313168,"Tarłowska 15, Kraków"
ChIJf_fJ3A1bFkcReBPkLXMdbhs,La Grande Mamma,50.0612259,19.9355602,"Rynek Główny 26, Kraków"
ChIJJ5plTEVbFkcROZ6eOhgOq3w,Pergamin 2.0 Lounge & Skybar,50.0557444,19.9278843,"Aleja Zygmunta Krasińskiego 1/7 piętro, Kraków"
ChIJjzP7XQBbFkcRVYu_wfhoG-w,Bar - Biblioteka,50.06095639999999,19.9423401,"Na Gródku 4, Kraków"
ChIJ4xDnEqNbFkcRwoL3QD8x15s,Little Britain Café & Bar,50.0601897,19.93634630000001,"Bracka 6, Kraków"
