bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub","Brzozowa 15, Kraków",50.0533553,19.9458262,1,stop_227_36219,815-01,Miodowa,50.053886,19.948108,173,,
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub","Brzozowa 15, Kraków",50.0533553,19.9458262,2,stop_227_36229,815-02,Miodowa,50.05321,19.9489,220,,
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub","Brzozowa 15, Kraków",50.0533553,19.9458262,3,stop_224_35939,819-03,Stradom,50.052258,19.942061,295,,
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub","Brzozowa 15, Kraków",50.0533553,19.9458262,4,stop_224_35929,819-02,Stradom,50.052086,19.941166,361,,
ChIJsZBu6mpbFkcRtbOQ22y2jkE,"""Pracownia"" Cafe & Pub","Brzozowa 15, Kraków",50.0533553,19.9458262,5,stop_224_35949,819-04,Stradom,50.050842,19.942415,371,,
ChIJbWr1r7FbFkcR1kerx1rdPtc,"""Winnica"" Specjalistyczny sklep z winem Kraków","Kazimierza Wielkiego 124, Kraków",50.07475609999999,19.9124528,1,stop_1554_380819,,UKEN,50.074123,19.910791,138,,
ChIJbWr1r7FbFkcR1kerx1rdPtc,"""Winnica"" Specjalistyczny sklep z winem Kraków","Kazimierza Wielkiego 124, Kraków",50.07475609999999,19.9124528,2,stop_1554_380829,,UKEN,50.07426,19.909991,184,,
ChIJbWr1r7FbFkcR1kerx1rdPtc,"""Winnica"" Specjalistyczny sklep z winem Kraków","Kazimierza Wielkiego 124, Kraków",50.07475609999999,19.9124528,3,stop_195_8429,,Biprostal,50.07309,19.915045,262,,
ChIJbWr1r7FbFkcR1kerx1rdPtc,"""Winnica"" Specjalistyczny sklep z winem Kraków","Kazimierza Wielkiego 124, Kraków",50.07475609999999,19.9124528,4,stop_195_8419,,Biprostal,50.072862,19.916075,333,,
ChIJbWr1r7FbFkcR1kerx1rdPtc,"""Winnica"" Specjalistyczny sklep z winem Kraków","Kazimierza Wielkiego 124, Kraków",50.07475609999999,19.9124528,5,stop_319_104919,,Głowackiego,50.07536,19.9068,409,,
ChIJTw9pg1VbFkcRdmU1wmh4t9s,"103,8 FM","Bożego Ciała 7, Kraków",50.0516,19.9431749,1,stop_224_35949,819-04,Stradom,50.050842,19.942415,100,,
ChIJTw9pg1VbFkcRdmU1wmh4t9s,"103,8 FM","Bożego Ciała 7, Kraków",50.0516,19.9431749,2,stop_224_35939,819-03,Stradom,50.052258,19.942061,108,,
ChIJTw9pg1VbFkcRdmU1wmh4t9s,"103,8 FM","Bożego Ciała 7, Kraków",50.0516,19.9431749,3,stop_224_35919,819-01,Stradom,50.05148,19.941337,132,,
ChIJTw9pg1VbFkcRdmU1wmh4t9s,"103,8 FM","Bożego Ciała 7, Kraków",50.0516,19.9431749,4,stop_224_35929,819-02,Stradom,50.052086,19.941166,153,,
ChIJTw9pg1VbFkcRdmU1wmh4t9s,"103,8 FM","Bożego Ciała 7, Kraków",50.0516,19.9431749,5,stop_226_36119,872-01,Orzeszkowej,50.050631,19.938671,339,,
ChIJ5TDr1blbFkcRfNEKtBbdO7Y,442 Sport Pub,"Świętego Tomasza 20, Kraków",50.06273439999999,19.9404896,1,stop_222_35719,806-01,Poczta Główna,50.059797,19.942404,354,,
ChIJ5TDr1blbFkcRfNEKtBbdO7Y,442 Sport Pub,"Świętego Tomasza 20, Kraków",50.06273439999999,19.9404896,2,stop_852_324239,801-03,Teatr Słowackiego,50.064192,19.94499,360,,
ChIJ5TDr1blbFkcRfNEKtBbdO7Y,442 Sport Pub,"Świętego Tomasza 20, Kraków",50.06273439999999,19.9404896,3,stop_852_324229,801-02,Teatr Słowackiego,50.064792,19.944409,361,,
ChIJ5TDr1blbFkcRfNEKtBbdO7Y,442 Sport Pub,"Świętego Tomasza 20, Kraków",50.06273439999999,19.9404896,4,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,389,,
