trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_4_trip_2_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_3_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_4_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_5_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_6_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_7_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_8_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_9_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_10_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_11_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_12_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_13_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_14_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_15_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_16_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_4_trip_17_service_5,route_943,service_5,Mistrzejowice,"",1,block_4,shape_137,0
block_4_trip_18_service_5,route_943,service_5,Bronowice,"",0,block_4,shape_136,0
block_11_trip_2_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_3_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_4_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_5_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_6_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_7_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_8_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_9_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_10_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_11_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_12_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_13_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_14_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_15_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_11_trip_16_service_5,route_943,service_5,Bronowice,"",0,block_11,shape_136,0
block_11_trip_17_service_5,route_943,service_5,Mistrzejowice,"",1,block_11,shape_137,0
block_13_trip_2_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_3_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_4_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_5_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_6_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_7_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_8_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_9_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_10_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_11_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_12_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_13_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_14_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_15_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_16_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_17_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_18_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_19_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_20_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_21_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_22_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_13_trip_23_service_5,route_957,service_5,Mistrzejowice,"",1,block_13,shape_121,0
block_13_trip_24_service_5,route_957,service_5,Bardosa,"",0,block_13,shape_96,0
block_20_trip_2_service_5,route_958,service_5,Dworzec Towarowy,"",1,block_20,shape_27,0
block_20_trip_3_service_5,route_958,service_5,Czerwone Maki P+R,"",1,block_20,shape_4,0
block_20_trip_4_service_5,route_958,service_5,Dworzec Towarowy,"",1,block_20,shape_27,0
block_20_trip_5_service_5,route_958,service_5,Czerwone Maki P+R,"",1,block_20,shape_4,0
block_20_trip_6_service_5,route_958,service_5,Dworzec Towarowy,"",1,block_20,shape_27,0
